code,code_name,ipoDate,outDate,type,status
of.159738,华泰柏瑞中证沪港深云计算产业ETF,2022-01-18,,5,1
of.159739,鹏华中证云计算与大数据主题ETF,2021-11-03,,5,1
of.159740,大成恒生科技ETF(QDII),2021-05-18,,5,1
of.159741,嘉实恒生科技ETF(QDII),2021-05-26,,5,1
of.159742,博时恒生科技ETF(QDII),2021-05-17,,5,1
of.159743,博时湖北新旧动能转换ETF,2021-12-29,,5,1
of.159745,国泰中证全指建筑材料ETF,2021-06-09,,5,1
of.159747,南方中证香港科技ETF(QDII),2021-07-02,,5,1
of.159748,富国中证沪港深创新药产业ETF,2021-11-24,,5,1
of.159750,招商中证香港科技ETF(QDII),2022-01-26,,5,1
of.159751,鹏华中证港股通科技ETF,2021-12-10,,5,1
of.159752,申万菱信中证内地新能源主题ETF,2021-07-20,,5,1
of.159755,广发国证新能源车电池ETF,2021-06-15,,5,1
of.159757,景顺长城国证新能源车电池ETF,2021-07-21,,5,1
of.159758,华夏中证红利质量ETF,2021-12-20,,5,1
of.159760,泰康国证公共卫生与医疗健康ETF,2021-12-06,,5,1
of.159761,国泰中证新材料主题ETF,2021-11-24,,5,1
of.159763,建信中证新材料主题ETF,2021-08-19,,5,1
of.159766,富国中证旅游主题ETF,2021-07-15,,5,1
of.159767,兴银国证新能源车电池ETF,2021-08-06,,5,1
of.159768,银华中证内地地产主题ETF,2022-01-27,,5,1
of.159769,银华中证消费电子主题ETF,2022-02-18,2024-07-10,5,0
of.159770,天弘中证机器人ETF,2021-10-26,,5,1
of.159773,华泰柏瑞创业板科技ETF,2021-09-23,,5,1
of.159775,建信国证新能源车电池ETF,2022-01-07,,5,1
of.159776,银华中证港股通医药卫生综合ETF,2022-03-07,,5,1
of.159777,国联安创科技ETF,2021-09-27,,5,1
of.159778,鹏华中证工业互联网主题ETF,2022-01-25,,5,1
of.159779,招商中证消费电子主题ETF,2021-11-18,,5,1
of.159780,南方中证科创创业50ETF,2021-06-24,,5,1
of.159781,易方达中证科创创业50ETF,2021-06-28,,5,1
of.159782,银华中证科创创业50ETF,2021-06-29,,5,1
of.159783,华夏中证科创创业50ETF,2021-06-24,,5,1
of.159786,银华中证虚拟现实主题ETF,2021-07-29,,5,1
of.159787,易方达中证全指建筑材料ETF,2022-03-04,,5,1
of.159788,易方达中证港股通中国100ETF,2022-02-22,,5,1
of.159789,建信中证饮料主题ETF,2021-11-25,,5,1
of.159790,华夏中证内地低碳经济主题ETF,2021-07-30,,5,1
of.159791,华夏沪深300ESG基准ETF,2022-02-24,,5,1
of.159792,富国中证港股通互联网ETF,2021-09-15,,5,1
of.159793,平安中证沪港深线上消费主题ETF,2021-11-09,,5,1
of.159795,汇添富中证智能汽车主题ETF,2022-01-27,,5,1
of.159796,汇添富中证电池主题ETF,2022-03-03,,5,1
of.159797,汇添富中证全指医疗器械ETF,2022-04-28,,5,1
of.159798,易方达中证消费50ETF,2022-04-28,,5,1
of.159800,鹏华中证800ETF,2024-06-27,,5,1
of.159801,广发国证半导体芯片ETF,2020-01-20,,5,1
of.159804,国寿安保创精选88ETF,2020-03-04,,5,1
